,distr,address,flagw,flacg,flags,latitude,longitude,name
615,район Митино,от ул Дубравная до первого Митинского переулка,нет,нет,нет,37.3677675624,55.8496038922,Озелененная территория по Пятницкому шоссе микрорайон 2
616,район Митино,Пятницкое шоссе д 29 до д 39,нет,нет,нет,37.3551826004,55.8557719811,Озелененная территория по Пятницкому шоссе микрорайона 3
617,район Митино,от первого Митинского переулка до д7 по Пятницкому шоссе,нет,нет,нет,37.3778295379,55.8446996176,Озелененная территория по Пятницкому шоссе микрорайона 1 до РТС
618,район Куркино,Новокуркинское шоссе д51,нет,нет,нет,37.3891189377,55.9122102632,Бульвар МБ-2 Новокуркинское шоссе
619,район Митино,Пятницкое шоссе д6 корп8,нет,да,нет,37.392015987,55.8395530634,Бульварная зона микрорайона 10 «А»
620,район Южное Тушино,от улицы Сходненская до улице Свободы,нет,да,да,37.4381217732,55.8374193638,сквер между Западным и Восточным мостом
621,район Южное Тушино,улица Фабрициуса д 20,нет,да,да,37.4439570884,55.8456833118,Сквер у кинотеатра «Полет»
622,район Куркино,Новокуркинское шоссе от улицы Соколово-Мещерская до улицы Юровская,нет,нет,нет,37.3888931146,55.9071871831,Бульвар МБ-5 Новокуркинское шоссе
623,район Южное Тушино,улица Свободы,нет,нет,нет,37.4520842362,55.8505574532,улица Свободы от Восточного моста до Химкинского бульвара
624,район Северное Тушино,ул Туристская д 20,нет,да,нет,37.4201725728,55.8578659548,бульвар по ул Туристская
625,район Куркино,Новокуркинское шоссе от улицы Юровская до д8корп2 по улице Соколово-Мещерская,нет,нет,нет,37.3985994798,55.898131946,Бульвар МБ-6 Новокуркинское шоссе
626,район Северное Тушино,ул Планерная д 12,нет,нет,нет,37.4360822713,55.8614052514,Озеленённая территория между выходами метро Планерная
627,район Северное Тушино,ул Героев Панфиловцев д 8,нет,да,да,37.4376196213,55.8553603873,Сквер по улице Героев
628,район Куркино,улица Соколово-Мещерская д2 до д 6,нет,да,нет,37.3877302496,55.8935340015,Бульвар МБ-12
629,район Куркино,улица Родионовская от д 3 до д 17,нет,нет,нет,37.3876471594,55.8935233114,Бульвар ПК-6 по улице Родионовская
630,район Северное Тушино,Химкинский бульвар д 14,нет,да,нет,37.4511051888,55.852704136,Химкинский бульвар
631,район Куркино,улица Соловьиная роща д 2-4,нет,да,нет,37.3997600115,55.8898012666,Парк Березовая роща
632,район Северное Тушино,бульвар Яна Райниса д 2,нет,да,нет,37.4238498461,55.8496085302,бульвар Яна Райниса
633,район Куркино,улица Соловьиная роща д 6 корп1,нет,да,нет,37.4022263317,55.8905101565,Сад-усадьба микрорайон 14 Новокуркинское шоссе
634,район Северное Тушино,ул Героев Панфиловцев д10,нет,нет,нет,37.4374777061,55.8555467718,сквер по ул Фомичёвой
635,район Куркино,улица Соловьиная роща д 8-10,нет,да,нет,37.3992346085,55.8923783243,Парк Соловьиная роща
636,район Проспект Вернадского,Озелененная территория прилегающая к прудам по улице Кравченко,да,нет,нет,37.5115871661,55.6781480511,Пруд по улице Кравченко
637,Даниловский район,Бульвар по улице Серпуховский вал,нет,да,да,37.6067765514,55.7119564252,Бульвар по улице Серпуховский вал
638,район Преображенское,Сквер между Краснобогатырской улицей и улицей Алымова,нет,да,да,37.7113137082,55.80414629,Сквер на Алымова
639,район Крюково,"город Зеленоград, 18 микрорайон, напротив корпуса 1824",нет,нет,нет,37.1701913019,55.9818169917,Народный парк у корпуса 1824
640,Пресненский район,Красногвардейские пруды,да,да,да,37.5458432165,55.757591329,Парк Красная Пресня (Красногвардейские пруды)
641,район Северное Тушино,"улица Свободы, владение 50-56",да,да,да,37.4557175373,55.8532165733,Залив Захарково
642,район Преображенское,"Малая Семеновская улица, дом 11",нет,нет,нет,37.7113127997,55.7850144751,Парк Сокольники (дополнительная территория)
643,район Покровское-Стрешнево,"Иваньковское шоссе, владение 2",да,да,да,37.4718628174,55.8341094895,Покровский берег
644,район Москворечье-Сабурово,"Каширское шоссе, дом 80Д",да,да,да,37.6959629802,55.6353361699,Озелененная территория между Шипиловским проездом и Каширским шоссе
645,район Левобережный,"улица Левобережная, канал имени Москвы",да,да,да,37.4589560623,55.8824213963,Парк между каналом имени Москвы и Левобережной улицей
646,район Филёвский Парк,"улица Большая Филевская, дом 22",нет,да,да,37.4942145049,55.7528736672,Сквер у ДК Горбунова
647,Таганский район,"улица Таганская, дом 15А",нет,да,да,37.6599113204,55.7412796304,Парк Таганский (детская территория)
648,район Выхино-Жулебино,"Пересечение улицы Кузьминская, улицы Тополевая и улицы Кузьминский парк, дом 1, строение 2",да,да,нет,37.8049031941,55.6880622748,Природно-исторический парк Кузьминки-Люблино
649,Лосиноостровский район,Территория между улицей Изумрудная и улицей 1-я Напрудная,нет,да,нет,37.687585619,55.8757539693,Сквер по ул. Изумрудная
650,район Очаково-Матвеевское,улица Марии Поливановой 4,нет,да,нет,37.4490696391,55.6808638765,Сквер по улице Марии Поливановой
651,район Филёвский Парк,"улица Сеславинская, дом 16 - 42",нет,да,нет,37.4942926531,55.7434060465,ул. Сеславинская
652,Молжаниновский район,"3-я Подрезковская, 14",нет,нет,нет,37.3553244396,55.9414259047,Молжаниновский народный парк
653,Басманный район,"улица Верхняя Сыромятническая, дом 2",нет,нет,нет,37.6583918752,55.7548767746,Верхний Сыромятнический сквер
654,район Коньково,"город Москва, улица Островитянова, улица Академика Арцимовича",нет,да,да,37.5076282267,55.6408873116,"Сквер от ул. Островитянова до ул. Академика Арцимовича, вдоль д. 14 к. 1, 2."
655,Войковский район,пересечение Старопетровского проезда и ул Клары Цеткин,нет,да,нет,37.5104636663,55.8264530169,Старопетровский сквер
656,район Южное Бутово,"город Москва, улица Кадырова",нет,да,нет,37.5027174304,55.5368766288,Северная зона Большого пруда
657,район Южное Бутово,"город Москва, улица Кадырова",нет,да,да,37.5045229471,55.5360292977,Спортивная зона парка Южное Бутово
658,район Южное Бутово,"город Москва, Проектируемый проезд № 6417",нет,нет,нет,37.5015238588,55.5367452366,Правый берег Большого пруда в пойме реки Чуры
659,район Южное Бутово,"город Москва, улица Южнобутовская",нет,да,нет,37.5144031517,55.5365972666,Левый берег Большого пруда в пойме реки Чуры
660,район Внуково,Пересечение Центральной и 1-й Рейсовой улицы до дома №1/21 по 1-й Рейсовой улице и дома №25к1 по Большой Внуковской улице,нет,да,да,37.2956481133,55.6069403156,Парк «Центральный»
661,район Лефортово,"на пересечении улиц шоссе Энтузиастов , Авиамоторная
",нет,нет,нет,37.7164920541,55.753317497,Сквер имени М.И.Калинина
662,район Внуково,От Большой Внуковской улицы до дома 3с1 по Центральной улице,нет,да,нет,37.2937603453,55.6117000784,Парк за «КБО» (Комбинат бытового обслуживания)
663,Тверской район,"Лубянский проезд, 19",нет,нет,нет,37.6304526006,55.7565966466,Ильинский сквер
664,район Замоскворечье,Улица Бахрушина,нет,да,да,37.6355400082,55.7352081006,Парк «Михайловский сад»
665,район Хамовники,Хамовнический вал дом 24,нет,нет,нет,37.5704615066,55.7193667518,Озелененная территория вдоль ул. Хамовнический вал
666,Мещанский район,"Сущевский вал, владение 56",нет,да,да,37.6167237773,55.7913967931,Фестивальный парк
667,Пресненский район,Парк находится около Дома Правительства РФ,нет,да,да,37.5735324481,55.7577005732,Парк Пресненский
668,Тверской район,Миусская площадь у строения 4,нет,нет,да,37.5906978552,55.7766605011,Парк на Миуссах
669,район Филёвский Парк,ул Барклая 9/2,нет,нет,нет,37.4996655242,55.7418468483,Сквер у культурного центра Л. Рюминой
670,район Филёвский Парк,ул Барклая,нет,нет,нет,37.4984326014,55.7427834693,Сквер у магазина «Мебель»
671,район Крюково,"город Зеленоград, от корпуса 1504 до корпуса 1561",да,нет,нет,37.1529938511,55.9774859837,Бульвар у Михайловского пруда в Западной части города Зеленограда со стороны 15 микрорайона
672,Останкинский район,По правую руку при движении по 1-й Останкинской улице от метро ВДНХ,да,да,да,37.6114352797,55.8322061075,Парк «Останкино»
673,район Лианозово,"Улица Громова, дом 27",нет,нет,нет,37.5758510387,55.9093187031,Объект природного комплекса № 30 Парк у поселка имени Ларина
