"Lat","Lon","Id","Number","Cells__global_id","Cells__Name","Cells__IsNetObject","Cells__OperatingCompany","Cells__AdmArea","Cells__District","Cells__Address","Cells__PublicPhone__PublicPhone","Cells__SeatsCount","Cells__SocialPrivileges","Cells__Longitude_WGS84","Cells__Latitude_WGS84"
"55.7622255827563","37.613107015750515","992525b0-65a6-4922-b07c-abb7f76dae4d","444","169373336","Гадкий кайот","нет","null","Центральный административный округ","Тверской район","улица Большая Дмитровка, дом 13","(903) 728-84-43","120","нет","37.6131070157505150","55.7622255827563010"
"55.306107","37.197713","ebca89fa-1c63-4af1-8a02-79da516be5b8","445","169373494","Бар «Ракета»","нет","null","Троицкий административный округ","поселение Вороновское","вблизи посёлка ЛМС, дом 1Б/Н","(495) 676-85-55","30","нет","37.1977130000000000","55.3061070000000000"
"55.760552722188585","37.647149355205542","79512da8-d8cf-45f1-80da-c92db45d38cd","446","169373538","Alchemic ночной клуб","нет","null","Центральный административный округ","Басманный район","Чистопрудный бульвар, дом 23, строение 2","(903) 724-81-08","80","нет","37.6471493552055420","55.7605527221885850"
"55.822980739025645","37.524945467434613","e2df14b6-30e8-4acc-b81b-af067188a27a","447","169373830","ГазГарант","нет","null","Северный административный округ","район Коптево","Большая Академическая улица, дом 13А","(495) 450-37-75","10","нет","37.5249454674346130","55.8229807390256450"
"55.306107","37.197713","22503160-4af7-41ff-9059-67642c421e80","448","169373841","Бар столовой № 1","нет","null","Троицкий административный округ","поселение Вороновское","вблизи посёлка ЛМС, дом 1Б/Н","(495) 676-85-55","36","нет","37.1977130000000000","55.3061070000000000"
"55.759149044867691","37.580833879039623","cdc7dca4-de7f-482a-9731-3c3f4dbc4f09","449","169374059","Бар «Крафт»","нет","null","Центральный административный округ","Пресненский район","Кудринская площадь, дом 1","нет телефона","40","нет","37.5808338790396230","55.7591490448676910"
"55.757942694896094","37.636713612663172","3bb0f27b-2f01-4d4b-bc7c-8357b272a4ef","450","169374111","Hardy pub","нет","null","Центральный административный округ","Басманный район","улица Маросейка, дом 15","(499) 963-83-84","45","нет","37.6367136126631720","55.7579426948960940"
"55.77131093188946","37.632111795165571","28c37b50-e9cb-4c7a-906d-cc8757f104da","451","169374226","Кальянная","нет","null","Центральный административный округ","Мещанский район","улица Сретенка, дом 27, строение 1","(495) 607-12-20","30","нет","37.6321117951655710","55.7713109318894600"
"55.774279","37.724966","9b0be37a-4ffd-46fa-8214-1c8511e1631b","452","169374310","Кальянная","нет","null","Восточный административный округ","район Соколиная Гора","проспект Будённого, дом 17","(925) 937-44-83","28","нет","37.7249660000000000","55.7742790000000000"
"55.764693445919271","37.621947667915776","43e5eb34-6a88-482f-b654-400fdc005b6c","453","169374365","Бар","нет","null","Центральный административный округ","Мещанский район","Звонарский переулок, дом 5","(903) 139-64-96","30","нет","37.6219476679157760","55.7646934459192710"
