,distr,address,phone,hasrent,hastoilet,latitude,longitude
129,Ярославский район,"Ярославское шоссе, дом 6, корпус 2",,нет,нет,55.85119041183299,37.68671063626723
130,район Москворечье-Сабурово,"Борисовская улица, дом 21, строение 2",(495) 175-33-69,нет,нет,55.64482026854178,37.76942867333273
131,район Москворечье-Сабурово,"Борисовская улица, дом 21, строение 2",(495) 175-33-69,нет,нет,55.637436879959026,37.73420136583589
132,район Раменки,"улица Лобачевского, дом 116",(495) 443-43-35,нет,нет,55.69034340406053,37.47975060481188
133,район Братеево,"Братеевская улица, владение 4, корпус 1",(499) 175-33-69,нет,да,55.63174030904234,37.73926756656852
134,Донской район,"Лазоревый проезд, дом 12",(499) 175-33-69,нет,да,55.69870080382153,37.61172262946166
135,район Бибирево,"улица Лескова, дом 9А",(499) 206-87-30,нет,нет,55.898972,37.598654
136,район Орехово-Борисово Южное,"Шипиловский проезд, дом 73",(495) 392-27-27,нет,нет,55.59623147442583,37.719012523861004
137,Головинский район,"Смольная улица, дом 25",(499) 458-02-57,нет,нет,55.84998590612402,37.493282076324746
138,район Богородское,"улица Богатырский Мост, дом 17, корпус 1",(499) 268-60-45,нет,нет,55.819655503935145,37.68934090246606
139,район Богородское,"улица Богатырский Мост, дом 17, корпус 1",(499) 268-60-45,нет,нет,55.819875864313175,37.688466502326996
140,район Измайлово,"Измайловский проезд, владение 1А, строение 1",,нет,нет,55.78758915017088,37.750535850282134
141,район Гольяново,"Уральская улица, дом 19, корпус 1",,нет,нет,55.822095584369926,37.79767201852413
142,район Силино,"город Зеленоград, корпус 1126",,нет,нет,55.99826225599007,37.17431823278806
143,район Северное Медведково,"Студёный проезд, дом 2, корпус 1",(495) 579-29-76,нет,нет,55.894534672231174,37.64782998658575
144,район Ростокино,"Сельскохозяйственная улица, дом 26, строение 15",(495) 602-85-34,нет,нет,55.83941642465247,37.63682241369821
145,район Свиблово,"Тенистый проезд, дом 2, корпус 1",(495) 618-40-24,да,нет,55.8602679893075,37.63727119460968
146,район Орехово-Борисово Южное,"Ясеневая улица, дом 21, корпус 3",(495) 398-79-59,нет,нет,55.606451472450054,37.730241648735145
147,район Митино,"Новотушинский проезд, дом 8, корпус 2",(495) 751-14-91,нет,нет,55.83909991751014,37.38111540702594
148,район Митино,"Дубравная улица, дом 41, корпус 3",(495) 752-69-01,нет,нет,55.84216797027611,37.360635361756806
149,район Северное Медведково,"Осташковская улица, дом 30, корпус 2",(499) 477-11-40,нет,нет,55.89255133221309,37.67699592867759
150,Тверской район,"Новослободская улица, дом 58/12, строение 6",(499) 972-68-73,да,да,55.790475417076244,37.59433402184971
151,район Южное Бутово,"улица Адмирала Лазарева, владение 17, строение 2",(495) 580-26-78,да,да,55.53599424863232,37.50415945755029
152,район Матушкино,"город Зеленоград, корпус 222А",(499) 736-12-64,нет,нет,56.00270284374499,37.19967013615941
153,район Кузьминки,"Кузьминский парк, дом 1, строение 2",(495) 175-33-69,да,да,55.6953011369095,37.76845789723867
154,район Выхино-Жулебино,"Ташкентская улица, дом 21, корпус 2",(495) 376-78-38,нет,нет,55.70043469540727,37.81498295173338
155,район Выхино-Жулебино,"Ташкентская улица, дом 18, корпус 3",(495) 376-78-38,да,нет,55.70447037871377,37.810320295694346
156,район Раменки,"улица Косыгина, владение 29",(495) 539-53-53,нет,нет,55.709010547492554,37.534985458491434
157,район Отрадное,"улица Декабристов, дом 40",(499) 204-34-46,нет,нет,55.859237806025334,37.61844165966541
158,поселение Сосенское,"МКАД, 36-й километр, дом Б/Н, строение 8",,да,да,55.58491397946548,37.54620701404011
159,район Отрадное,"Нововладыкинский проезд, дом 6Б, строение 9",(495) 777-28-02,нет,нет,55.851094394794046,37.58631533132473
160,район Восточное Дегунино,"Керамический проезд, дом 65, корпус 1",(499) 908-35-00,да,да,55.88896363621974,37.56348349555945
161,район Строгино,"улица Кулакова, дом 12, корпус 2",(495) 758-91-15,нет,нет,55.810323211689514,37.39387647795261
162,район Орехово-Борисово Северное,"улица Маршала Захарова, дом 6, корпус 1",(499) 175-33-69,да,да,55.626324433739924,37.7078318065493
163,район Тёплый Стан,"улица Академика Варги, дом 34",(495) 339-77-39,нет,нет,55.63443931360637,37.47821275776974
164,район Черёмушки,"Херсонская улица, дом 27А",(495) 331-56-11,нет,да,55.65349323502957,37.55979587594693
165,район Отрадное,"Юрловский проезд, дом 19",(495) 619-79-81,нет,нет,55.87030724940236,37.623183247527415
166,Нагорный район,"Балаклавский проспект, дом 6",(495) 316-50-22,нет,нет,55.64248860980628,37.61232244633227
167,район Нагатино-Садовники,"Нагатинская набережная, дом 12, корпус 1",(499) 611-53-62,нет,нет,55.68174553155578,37.642679646851676
168,поселение Троицк,"Ватутинки-1, дом 53",,нет,нет,55.50971517057304,37.3308875046346
169,поселение Щаповское,"посёлок Щапово, дом 13",(916) 449-62-20,нет,нет,55.41510465116031,37.41604693440188
170,район Вешняки,"улица Юности, дом 2, строение 1",(495) 367-36-81,нет,нет,55.73396708282931,37.79851245293186
171,район Вешняки,"улица Юности, дом 2, строение 1",(495) 367-36-81,нет,нет,55.73564644231379,37.79690029813054
172,район Восточный,"Западная улица, дом 16",(499) 780-15-82,нет,нет,55.81611093985327,37.88299262589324
173,район Дорогомилово,"улица Братьев Фонченко, дом 7",(499) 148-83-00,нет,да,55.7307387622488,37.49630833473141
174,Гагаринский район,"улица Косыгина, дом 28, строение 3",,нет,нет,55.71058716197871,37.53486294509724
175,район Сокольники,"3-й Лучевой просек, дом 1, строение 3",,нет,нет,55.796271458871956,37.67261159657175
176,район Сокольники,"2-й Лучевой просек, дом 5А, строение 3",,нет,нет,55.801303778755326,37.65872682650769
177,район Сокольники,"Митьковский проезд, дом 1",,нет,нет,55.79216253101597,37.665074170637936
178,район Сокольники,"улица Сокольнический Вал, дом 1Б, строение 3",,нет,нет,55.79156365610409,37.66535508041389
179,район Вешняки,"улица Юности, дом 2, строение 1",(495) 367-36-81,нет,нет,55.73185759014027,37.81029786712258
180,район Северное Бутово,"Новоясеневский тупик, дом 1, строение 2",(499) 643-22-97,нет,нет,55.626372156266605,37.54312353549306
181,поселение Вороновское,"село Вороново, дом 178",,нет,нет,55.310470041488465,37.171948768685
182,поселение Краснопахорское,"деревня Варварино, дом 1Б",(495) 850-81-00,нет,нет,55.433410285160875,37.249942558054194
183,поселение Московский,"город Московский, 3-й микрорайон, дом 1",(495) 841-08-70,нет,нет,55.59415846270559,37.33879696837043
