"Id","Number","Cells__global_id","Cells__Name","Cells__AdmArea","Cells__District","Cells__Address","Cells__ManagementCompany","Cells__LegalAddressOfManagementCompany","Cells__MarketType","Cells__ExtraInfo","Cells__geoData__type","Cells__geoData__coordinates__001","Cells__geoData__coordinates__002"
"4b3d126a-886c-43ce-9ef1-bb9048981a6e","11","19657389","Обручевский рынок","Юго-Западный административный округ","Обручевский район","улица Обручева, дом 11","«Астромус»","119421, Москва г, Ленинский пр-кт, дом № 99","Специализированный (сельскохозяйственный)","null","Point","37.515382729250341","55.659939287735718"
"9d967788-a6c8-4420-b101-f534316b68f5","12","19657397","Куркинский рынок","Северо-Западный административный округ","район Куркино","МКАД, 73-й километр, дом 7, корпус 1","Куркинский рынок","Москва, дом № 17,  13, кв. пом. пра","Специализированный (сельскохозяйственный)","null","Point","37.42159094666615","55.877258905289821"
"2bd9c5e5-31eb-40af-90ec-661883192d40","13","19657414","рынок Садовод","Юго-Восточный административный округ","район Капотня","МКАД, 14-й километр, дом 2, строение 5","«Оптово-розничный рынок «Садовод»","109429, город Москва, 14-й километр Московской Кольцевой Автодороги, владение 2, строение 3","Универсальный","null","Point","37.83000003537358","55.655155680983825"
"105acadb-ac4b-4085-b757-656018309006","14","19657391","рынок Теплый стан","Юго-Западный административный округ","район Тёплый Стан","улица Тёплый Стан, владение 1Б, строение 1","«СТРОЙТЕХиНВЕСТ»","Москва г, Теплый Стан ул, дом № 1Б,  3","Специализированный (сельскохозяйственный)","null","Point","37.501556871473731","55.618681712665094"
"ba594d2c-e09f-45c6-8d29-fbaed35b4999","15","19699354","На Багратионовской","Западный административный округ","район Филёвский Парк","улица Барклая, дом 10","ДАНВИТА","121151, Москва г, Можайский Вал ул, дом № 10","Специализированный (сельскохозяйственный)","null","Point","37.554026967993195","55.742775626454041"
"a8791125-2fea-4189-8bd7-aad9be49b830","16","19657419","рынок Автомастер","Новомосковский административный округ","поселение Московский","деревня Саларьево, владение 5, строение 1","«Автомастер»","142784, город Москва, город Московский, микрорайон 1, дом 43А","Специализированный (сельскохозяйственный)","null","Point","37.441250152193824","55.623253634162339"
"e1a8f4d9-603c-4808-8e19-7aa1e1103c4a","17","19657413","Новокосинский Торговый центр","Восточный административный округ","район Новокосино","Суздальская улица, дом 25А, строение 1","«Крона-Маркет»","111672, Москва г, Новокосинская ул, дом № 14а","Универсальный","null","Point","37.87958368894742","55.747619399511493"
"ad460d41-30fd-4207-9ff0-470d6750849c","18","19699358","Северный рынок","Северо-Восточный административный округ","Лосиноостровский район","улица Лётчика Бабушкина, дом 30, строение 1","«Северный рынок»","129281, Москва г, Летчика Бабушкина ул, дом № 30, строение 1","Специализированный (сельскохозяйственный)","null","Point","37.676508169539993","55.870241402332596"
"d3bf3a13-c6b6-4321-932f-e697c9d83ec5","19","19699407","рынок Карен","Юго-Западный административный округ","район Ясенево","Новоясеневский проспект, дом 1Б, корпус 2","«Торговая компания - КАРЕН»","123181, Москва г, Неманский проезд, дом № 4,  2","Специализированный (сельскохозяйственный)","null","Point","37.509302720152988","55.618131093644706"
"4fab5058-ebd7-482e-a6f4-5d6e2eba0de4","20","19700089","Саларьевский рынок","Новомосковский административный округ","поселение Московский","город Московский, 1-й микрорайон, дом 43, корпус 1","«Автомастер»","142784, город Москва, город Московский, микрорайон 1, дом 43А","Специализированный (автозапчасти)","null","Point","37.441142780730843","55.623272996242626"
"b9aefc9f-e3bb-405a-b75e-b7e4d038cafc","21","144557074","Даиси","Западный административный округ","Можайский район","улица Маршала Неделина, дом 19","ООО Даиси","улица Маршала Неделина, дом 19, строение 1, комната 1","Специализированный (сельскохозяйственный)","null","Point","37.407069927453072","55.726023931537341"
"e97995c5-1bb4-429d-8a4d-95b203bde629","22","19657390","Калужская сельхоз ярмарка","Юго-Западный административный округ","район Ясенево","Новоясеневский проспект, дом 1","«Калужская сельскохозяйственная ярмарка»","107031, Москва г, Кузнецкий Мост ул, дом № 7","Специализированный (сельскохозяйственный)","null","Point","37.509516603765334","55.618292300635709"
"c4812482-426c-4d5b-8df7-87b64e572a61","23","19657399","рынок Зеленоградская управляющая компания","Зеленоградский административный округ","район Силино","Крюковская площадь, дом 1","«Зеленоградская управляющая компания»","124365, город Москва, город Зеленоград, корпус 1649, Н.П. 4/2","Специализированный (сельскохозяйственный)","null","Point","37.173935813749","55.981370317969585"
"8891b496-2d29-4fac-8252-bcc02cd969c3","24","19657367","Рижский рынок","Центральный административный округ","Мещанский район","проспект Мира, дом 88, строение 1","«Рижский рынок»","129110, город Москва, проспект Мира, дом 88","Специализированный (сельскохозяйственный)","null","Point","37.636907711074187","55.793356412907713"
"a6fc8566-1333-450d-a97d-dcf681e75ac3","25","19657382","Люблинский рынок","Юго-Восточный административный округ","район Текстильщики","Люблинская улица, дом 10, строение 1","«ЛЮБЛИНСКИЙ РЫНОК»","Москва г, Люблинская ул, дом № 10-12","Специализированный (сельскохозяйственный)","null","Point","37.731910235541","55.700927586150826"
"0077531f-a4f4-48cc-9952-e0f5bc040999","26","19657400","Зеленоградский рынок с торговым центром","Зеленоградский административный округ","район Силино","Крюковская площадь, дом 1","«Зеленоградский рынок с торговым центром»","124575, город Москва, город Зеленоград, Крюковская Площадь, строение 8","Специализированный (сельскохозяйственный)","null","Point","37.173008727042252","55.981407513554522"
